key,det,channels,live_s,counts,chains,nuclides,background,ecal_mode,ecal_lines,ecal_rms_kev,ecal_rms_fwhm,bg_ecal_mode,fwhm_662_pct,result_data,source,why
ASN16_Th232,ASN16,8192,187685.0,113998155,Th-232,,встроен,self/p0.80,4,1.05,,как передний план,6.66,0,!ASN16\Th-232 16.06.2026.xml,"опорный Th-232 ASN16, 114 М отсчётов"
ASN16_Charoite,ASN16,8192,311281.3,4599730,Ra-226,,встроен,self/p0.45,8,3.16,,как передний план,6.66,0,!ASN16\Чароит в домике.xml,Ra-226 в природном образце
ASN16_UGlass,ASN16,8192,70489.8,5158722,U-238u;U-235,,встроен,self/p0.80,3,0.06,,как передний план,6.66,0,!ASN16\UGlass nos 12.xml,голова ряда U-238 без радия
ASN16_Granite,ASN16,8192,73286.0,5342096,Th-232;U-238;U-235,,встроен,self/p0.60,6,3.29,,как передний план,6.66,0,!ASN16\Гранит.xml,все четыре цепочки сразу
AS80_Th232WT20,AS80x80,8192,31556.0,61396823,Th-232,,нет,self/p0.60,7,3.37,,-,7.65,0,!AS80x80\Th232(WT-20).xml,"опорный Th-232 AS80x80, 61 М отсчётов"
AS80_Th232_v2,AS80x80,8192,13772.8,9001337,Th-232,,встроен,self/p0.80,4,2.52,,как передний план,7.65,0,!AS80x80\28.08.2025\Th-232.xml,Th-232 с измеренным фоном
AS80_UGlass,AS80x80,8192,23960.4,8552474,U-238u;U-235,,встроен,self/p0.60,3,3.08,,как передний план,7.65,0,!AS80x80\28.08.2025\UGlass.xml,урановое стекло с измеренным фоном
AS80_Charoite,AS80x80,8192,1584.4,433236,Ra-226,,встроен,ref-cal,1,10.13,,как передний план,7.65,0,!AS80x80\Камни\Чароит.xml,единственный Ra-226 у AS80x80; статистически слаб
RC103_Th232WT20,RC103,1024,225338.9,11623023,Th-232,,нет,self/p0.80,3,0.0,,-,8.49,0,!КОТ-103\Th-232 WT-20.xml,1024 канала — нижняя граница по числу каналов на FWHM
HPGE_Uranium,HPGE,16384,60260.0,5685529,U-238u;U-235,40K,нет,poly2/robust/grp,13,0.22,0.122,-,0.22,0,HPGE\U_Пуговицы_tl60260_14.08.2020.xml,"полупроводник, 0.4 % на 662 кэВ. Единственный спектр, где линии ряда и дублет U-235 143.8/163.4/185.7/205.3 разрешены полностью: проверка, что критерий k*FWHM не разваливается, когда FWHM мал"
LaBr3_Ore,LaBr3,8192,9236.0,17554207,Th-232;Ra-226,,нет,gain,13,2.11,0.089,-,3.1,0,LaBr3\LaBr3_ore_9200s.xml,"LaBr3: 3.4 % на 662 кэВ и собственная активность (138La, ряд 227Ac) — фон, которого нет ни у одного другого детектора. Образец руды несёт обе цепочки сразу"
CZT_Th232,CZT,4096,85846.0,6026294,Th-232,,нет,affine,16,1.06,0.086,-,1.43,0,CZT\Kromek_radanel_5x5x5_CZT.xml,"CdZnTe: высокое разрешение при сильном низкоэнергетическом хвосте (дырочный шлейф) — форма пика, максимально далёкая от гауссианы"
CZT_Cs137,CZT,4096,60639.0,69742645,,137CS,нет,ref-cal(CZT_Th232),1,0.51,0.054,-,1.43,2,CZT\Kromek_radanel_5x5x5_CZT.xml,"негатив на том же кристалле, 70 М отсчётов: цепочек нет, а якорям есть на чём ложно сработать"
SrI2_Th232,SrI2,8192,4836.0,531944,Th-232,,нет,poly2,15,1.62,0.083,-,3.27,0,Калугин Алексей\Bq-2021-08-28_15-11-57-SrI_Th232_calibration.xml,SrI2(Eu) — ещё один сцинтиллятор с разрешением между LaBr3 и NaI
GS4000_Ra226,GS4000,4000,43562.3,1976663,Ra-226,,встроен,stored/grp,12,4.9,0.115,stored,7.07,0,КИ от Жени\Ra-226 (Контрольный).xml,"ПОВЕРОЧНЫЙ источник Ra-226. В исходной девятке радий был только в природных образцах (чароит), где его количество неизвестно"
GS4000_Th232,GS4000,4000,6866.9,818473,Th-232,,встроен,poly1/grp,8,4.41,0.12,stored,7.07,0,КИ от Жени\Th-232 (Контрольный).xml,поверочный Th-232 на том же детекторе — привязка Ra к Th
GS4000_U,GS4000,4000,39417.7,989798,U-238u;U-235,,встроен,affine/grp,4,3.83,0.186,stored,7.07,0,КИ от Жени\U(233-238) (Контрольный).xml,поверочный уран: голова ряда и U-235 без радиевой части
GS4000_Lu176,GS4000,4000,57341.3,969379,,176LU,встроен,gain/grp,4,2.69,0.132,stored,7.07,0,КИ от Жени\Lu-176 (Контрольный).xml,негатив на том же детекторе: три линии 88/202/307 и ничего больше
ASN3_Tile,ASN3,2500,179542.0,4882357,Th-232;Ra-226,40K,встроен,affine/grp,8,1.48,0.05,stored,4.43,0,Разное\Упаковка плитки.xml,"строительная керамика: обе цепочки в естественной пропорции и на естественном уровне активности, не источник"
ASN8_Th232_1024,ASN8_1024,1024,55447.8,12107327,Th-232,,встроен,poly2,10,4.25,0.077,stored,6.2,0,Th КИ\Th КИ - 1024.xml,лестница по числу каналов: 1024
ASN8_Th232_2048,ASN8_2048,2048,55470.7,12110720,Th-232,,встроен,stored,10,4.42,0.084,stored,6.17,0,Th КИ\Th КИ - 2048.xml,лестница по числу каналов: 2048
ASN8_Th232_3000,ASN8_3000,3000,130162.6,28557145,Th-232,,встроен,stored,10,5.98,0.106,affine,6.27,0,Th КИ\Th КИ - 3000.xml,лестница по числу каналов: 3000
ASN8_Th232_4096,ASN8_4096,4096,131721.9,28619731,Th-232,,встроен,stored,11,4.92,0.095,stored,5.96,0,Th КИ\Th КИ - 4096.xml,лестница по числу каналов: 4096
ASN8_Th232_8192,ASN8_8192,8192,131747.1,28634199,Th-232,,встроен,stored,10,6.05,0.112,stored,6.59,0,Th КИ\Th КИ - 8192.xml,лестница по числу каналов: 8192
ASN8_UGlass,ASN8_8192,8192,288017.9,24660708,U-238u;U-235,40K,встроен,poly2/grp,5,3.61,0.078,как передний план,6.59,0,UGlass\UGlass+Al 8192.xml,"голова ряда U-238, 24.7 М отсчётов — вдвое сильнее обоих урановых стёкол исходной девятки"
ASN8_Am241,ASN8_8192,8192,62272.8,7802061,,241AM,встроен,poly1/grp,2,2.47,0.037,как передний план,6.59,0,Am241\Am241-8192.xml,негатив: одна линия 59.5 кэВ на том же детекторе
ASN8_Background,ASN8_8192,8192,210337.2,142480,Th-232;Ra-226,40K,нет,poly1/grp,5,6.81,0.153,-,6.59,0,Домик фон\Домик сутки 8192.xml,"142 k отсчётов за 210 ks на 8192 каналах — предельно разреженный спектр, где цепочки формально есть, но почти на уровне шума"
OBS_Th232WT20,OBS,1024,49005.7,3252017,Th-232,,встроен,affine/grp,4,5.43,0.071,как передний план,15.08,0,Obsidian\Th-232-WT20.xml,Obsidian — третий 1024-канальный прибор рядом с RC-103 и ASN8
