scope,det,spectrum,source,sha256,bytes,result_data,channels,live_s,counts,lines,res_c
spectrum,AS1PRO,AS1Pro_Ra226,Калугин Алексей\Radium_226_Atom_Spectra _1_Pro_(3600s_6817CPS)_28-04-2021.xml,c2c90b7303adbd6140c0fbf61098db5bd347c6eae66ad3448d344ba84cc2e626,618434,0,8192,3600.0,24541759,12,
spectrum,AS80x80,AS80_Cs137_0cm,!AS80x80\Cs-137.xml,f3e0022e676a66506a32e5ecdb2477c5b3983ed49a835244bf651346725e7a62,307799,0,8192,10192.3,9350355,8,
spectrum,AS80x80,AS80_K40,!AS80x80\K40 Москва.xml,5f26214071280dc6f506614669342a6bffb0a6e3da7505cf96ea017be16134cf,630955,0,8192,323624.3,66756892,11,
spectrum,AS80x80,AS80_Lu176,<закреплено>\AS80_Lu176.xml,484bca27c4816a3586f80b147538d36960117ea972f73586966da22f691c18f0,624872,0,8192,3824.1,1415341,6,
spectrum,AS80x80,AS80_Onyx,!AS80x80\Камни\Оникс.xml,60f96821d3a34f119587445afe655e57b846cdb430a8ad1da152e9f309179b14,631520,0,8192,380497.5,68068445,10,
spectrum,AS80x80,AS80_Th232Medal,!AS80x80\Th-232(медальон).xml,7c2aeb5f64f5d031896c6305d896fa25e42aaeda39d3c5a06baa76ac0c8c0772,318127,0,8192,52742.3,33620155,12,
spectrum,AS80x80,AS80_Th232WT20,!AS80x80\Th232(WT-20).xml,3778a9015dff43f5f4c4e487332a3b71d6f5a2567439f85d5f59178049e26e7d,647148,0,8192,31556.0,61396823,13,
spectrum,ASN16,ASN16_Am241,!ASN16\Am241.xml,43d9243f57a0a2e9d4a799e67030cbc3bba84caf89face90f9b45b6d3d3d9ac3,610895,0,8192,180269.2,41129508,8,
spectrum,ASN16,ASN16_BrazilNuts,!ASN16\Бразильские орехи из Боливии в домике.xml,280fab78ec43c155f4fb5757f1d71ef5c8e4622fd26deccebb7d406a6e5075a5,605648,0,8192,196931.0,1255521,11,
spectrum,ASN16,ASN16_Charoite_v2,!ASN16\Чароит без свинцовой защиты.xml,752d925afdbb829f2e118e810c626115364c30e998219133b6d9574c09b8e6a3,615180,0,8192,172703.0,10615011,13,
spectrum,ASN16,ASN16_Cs137,!ASN16\Cs 137 в домике 24.11.2022.xml,4eba7ed5d33cbfa08a21dad605ea5deb9d94d59f61693567176c6ee32b2f36dc,629577,0,8192,356491.2,250626474,6,
spectrum,ASN16,ASN16_Cs137_10cm,!ASN16\Cs137 - 10cm.xml,6fae49101f7dbfb68acf09ef1e6c76fde664310337563f15e1d04954517a54ff,599272,0,8192,3421.0,117131,3,
spectrum,ASN16,ASN16_Lu176,<закреплено>\ASN16_Lu176.xml,da5c9b15d215602bc129e354c6695c40c7a0c3dddeea82f123615179578023d0,615272,0,8192,29229.3,4475091,5,
spectrum,ASN16,ASN16_Lu176_P0,!ASN16\Lu176 банка 50 мл d40-h15.xml,11c6d9d4b92405f7a02e142c70fe6e064234397c0609ecc9fb0c9b534e138df6,598280,0,8192,573.0,47755,4,
spectrum,ASN16,ASN16_Th232_Am241,!ASN16\Th232 + Am241.xml,3db3fa93334957e15b43f4e20611163d6f421f702704d82b291eb0a3ae075060,314850,0,8192,66131.0,32230544,13,
spectrum,ASN3,ASN3_Tile,Разное\Упаковка плитки.xml,18c31e304cc27f2098e1500c52ff2cdcaf80cb925e7b03244c527cab94d4dcad,189160,0,2500,179542.0,4882357,10,
spectrum,ASN8_8192,ASN8_Am241,Am241\Am241-8192.xml,5903b6695efc363993b150d4007679f151b1403d750a87c848404f68c7c7b56f,599051,0,8192,62272.8,7802061,3,
spectrum,ASN8_1024,ASN8_Th232_1024,Th КИ\Th КИ - 1024.xml,baaa3fea7416c26dd6356bf65470ddda8fd2a9787df0cc3cdc77a2d092855c78,79975,0,1024,55447.8,12107327,11,
spectrum,ASN8_2048,ASN8_Th232_2048,Th КИ\Th КИ - 2048.xml,38e875044d5075b92d93949488721b4db20d254dd822e0dbeee30c6362bbac98,156060,0,2048,55470.7,12110720,10,
spectrum,ASN8_3000,ASN8_Th232_3000,Th КИ\Th КИ - 3000.xml,130127bef48a1e4f74b6ddc72e7289653005a27e041469404806f574f55abcf5,228855,0,3000,130162.6,28557145,10,
spectrum,ASN8_4096,ASN8_Th232_4096,Th КИ\Th КИ - 4096.xml,6d7aa46bbbe37a800aacda1cb436be2622fb70c763965353357db3b8d135dcd6,309329,0,4096,131721.9,28619731,10,
spectrum,ASN8_8192,ASN8_Th232_8192,Th КИ\Th КИ - 8192.xml,edc39a007a98a51faad305eedb6268bb4651baa0cb1357738278be40202b2ee8,612936,0,8192,131747.1,28634199,10,
spectrum,ASN8_8192,ASN8_UGlass,UGlass\UGlass+Al 8192.xml,46672f866cc483f73542af77697df314f31d08ac19540a2ffa3a5e6c7b6d5485,605347,0,8192,288017.9,24660708,5,
spectrum,G1S16,G1S16_Am241_P25,LSRM поверки\Поверка 2016\Точка 25см\Am-241 42.13_Точечная-25см_25cm.xml,5651fc296729bbcd6a3f9483564bbd7d4072e6fd5755e141d3959efc357ba2ec,37769,0,1024,600.0,116115,3,
spectrum,G1S16,G1S16_Am241_P5,LSRM поверки\Поверка 2016\Точка 5см\Am-241 42.13_Точечная-5см_5cm.xml,1aa9936670e80d18eda49e9d2b2664f95ceade4cd3e16bb93b1ae8e37304377c,37507,0,1024,300.0,666706,1,
spectrum,G1S16,G1S16_Ba133_P25,LSRM поверки\Поверка 2016\Точка 25см\Ba-133 #6649_Точечная-25см_25cm.xml,04bae57d866e871b6e584fef070be7e517eb30b433f3745c4ed913fbf08457d1,38139,0,1024,1800.0,444959,3,
spectrum,G1S16,G1S16_Ba133_P5,LSRM поверки\Поверка 2016\Точка 5см\Ba-133 #6649_Точечная-5см_5cm.xml,428ea8464564b3d811bec6285a6ea4cb9c6d92d08d68064f672d571d49b0c31f,38126,0,1024,1800.3,4683681,4,
spectrum,G1S16,G1S16_Cd109_P25,LSRM поверки\Поверка 2016\Точка 25см\Cd-109 #6649_Точечная-25см_25cm.xml,b75c9484753e6c180743cd38a6dd011c204d14cd008fabf6b02e074caae3bb98,38001,0,1024,1800.0,81970,3,
spectrum,G1S16,G1S16_Cd109_P5,LSRM поверки\Поверка 2016\Точка 5см\Cd-109 #6649_Точечная-5см_5cm.xml,94e2450f70b3e430478d3069b86830d63db1080cbe5da79dda9fc51deb238c94,37761,0,1024,1800.0,251252,2,
spectrum,G1S16,G1S16_Ce139_P25,LSRM поверки\Поверка 2016\Точка 25см\Ce-139_591_Точечная-25см_25cm.xml,b86cd10a70784c726f617983de4c3c21abb1254f730716521a760fef3f2a72bf,38005,0,1024,1800.0,83721,3,
spectrum,G1S16,G1S16_Ce139_P5,LSRM поверки\Поверка 2016\Точка 5см\Ce-139_591_Точечная-5см_5cm.xml,df39994b852bbfd640b4fabe12a6acaf4db9dff3f76cbb318ccc5cc4605b05c4,37818,0,1024,1800.0,260036,3,
spectrum,G1S16,G1S16_Co57_P5,LSRM поверки\Поверка 2016\Точка 5см\Co-57 #6649_Точечная-5см_5cm.xml,c960a3dc915dbf84929dc022dc36c89f1b66d7e9b49c6505a49ccaca1a1c3f2c,37720,0,1024,1800.0,18646,1,
spectrum,G1S16,G1S16_Co60_P25,LSRM поверки\Поверка 2016\Точка 25см\Co-60 #6649_Точечная-25см_25cm.xml,5aefde2c4502531e114d79b8e4409f5795adc082c8800cacd3557a49663e332c,38546,0,1024,1800.0,495775,4,
spectrum,G1S16,G1S16_Co60_P5,LSRM поверки\Поверка 2016\Точка 5см\Co-60 #6649_Точечная-5см_5cm.xml,f6eb8fbda384436be40ab3ae34ca7201f25e84eb7fce7166562a024c44238532,39298,0,1024,1200.0,2918346,5,
spectrum,G1S16,G1S16_Cs137_Mar,LSRM поверки\Поверка 2016\Маринелли\Cs137_420-7-14_Маринелли_0cm.xml,4531fafa9c843ff5403cf6f49a2103f1c5021e7611e4bfd4bbf077285efa4163,38055,0,1024,3600.0,182541,3,
spectrum,G1S16,G1S16_Cs137_Mar_2,LSRM поверки\Поверка 2016\Маринелли\Cs137_420-7-15_Маринелли.xml,c60f94c1e87cf44af583963c255cb4eae74e6fbf752befb39024f442064f9cc6,38143,0,1024,3600.0,542243,1,
spectrum,G1S16,G1S16_Cs137_P25,LSRM поверки\Поверка 2016\Точка 25см\Cs-137 #6649_Точечная-25см_25cm.xml,5825b576f21e05d18ffecbbcd3960bee1c3c8c11b190b3be478f74d098ab9877,38293,0,1024,1800.0,518437,4,
spectrum,G1S16,G1S16_Cs137_P5,LSRM поверки\Поверка 2016\Точка 5см\Cs-137 #6649_Точечная-5см_5cm.xml,908276205afdb76b67daefebe6ac41f2ace2e25969e0875bf920e9614099316e,38510,0,1024,1800.2,4966296,3,
spectrum,G1S16,G1S16_Eu152_P25,LSRM поверки\Поверка 2016\Точка 25см\Eu-152 #6649_Точечная-25см_25cm.xml,52e886d12e57e41548819ccd571b3cb0b0941aecee7af6fc6fe6c9a8839d6898,38625,0,1024,3600.0,995657,10,
