det,channels,spectra,e_lo,e_hi,res_c0,res_c1,res_c2,fwhm_662_pct
AS1PRO,8192,1,20.0,2800.0,0.0,2.2825923284550456,0.0016313332495599634,7.13
AS80x80,8192,9,30,2800,0.0,6.543502823333523,-0.0013980325198824778,9.21
ASN16,8192,12,30,2800,0.0,1.8501352621710558,0.0005406799426703471,5.78
ASN3,2500,1,20.0,2800.0,0.0,1.2752888236714657,0.0,4.39
ASN8_1024,1024,1,30,2800,0.0,2.3242415018936624,0.00038401047805205476,6.24
ASN8_2048,2048,1,30,2800,0.0,3.1729287189143287,0.00015746690163926953,7.04
ASN8_3000,3000,1,30,2800,0.0,2.995687296152891,0.0003503907868217421,6.98
ASN8_4096,4096,1,30,2800,0.0,3.0052306537084195,0.00020580606610946466,6.89
ASN8_8192,8192,3,30,2800,0.0,2.714046222421271,0.000327967772657743,6.65
G1S16,1024,37,30.0,2800.0,0.0,2.7855474176181376,0.00021122386450667056,6.65
G1S24,1024,39,30.0,2800.0,0.0,3.248070080109288,0.00046111548140578324,7.33
GS4000,4000,4,20.0,2800.0,0.0,2.4113877906879106,0.0003460245206906147,6.32
HPGE,16384,1,20.0,2700.0,0.0,0.0019588854034021455,9.80960690457225e-07,0.2
HPGE_GEM,8192,3,20.0,2800.0,0.0,0.002436023720227524,1.0569635991330919e-07,0.19
HPGE_GMX,8192,4,20.0,2800.0,0.0,0.002903957912370864,-2.185147083948279e-07,0.2
LABR_BRIL,1024,2,30.0,2800.0,0.0,0.5693129454960486,9.303772065604825e-06,2.95
OBS,1024,1,30,2800,0.0,1.5938998170343863,0.0,4.91
RC101,1024,1,30,2800,0.0,9.847055492580719,0.0,12.2
RC103,1024,7,30,2800,0.0,4.095194802659364,0.00016878336383644834,7.97
