key,det,channels,live_s,counts,chains,nuclides,background,ecal_mode,ecal_lines,ecal_rms_kev,ecal_rms_fwhm,bg_ecal_mode,fwhm_662_pct,result_data,source,why
ASN16_Th232,ASN16,8192,187685.0,113998155,Th-232,,встроен,self/p0.80,4,1.05,,как передний план,6.66,0,!ASN16\Th-232 16.06.2026.xml,"опорный Th-232 ASN16, 114 М отсчётов"
ASN16_Charoite,ASN16,8192,311281.3,4599730,Ra-226,40K,встроен,self/p0.45,8,3.16,,как передний план,6.66,0,!ASN16\Чароит в домике.xml,Ra-226 в природном образце
ASN16_UGlass,ASN16,8192,70489.8,5158722,U-238u;U-235,,встроен,self/p0.80,3,0.06,,как передний план,6.66,0,!ASN16\UGlass nos 12.xml,голова ряда U-238 без радия
ASN16_Granite,ASN16,8192,73286.0,5342096,Th-232;U-238;U-235,,встроен,self/p0.60,6,3.29,,как передний план,6.66,0,!ASN16\Гранит.xml,все четыре цепочки сразу
AS80_Th232_v2,AS80x80,8192,13772.8,9001337,Th-232,,встроен,self/p0.80,4,2.52,,как передний план,7.65,0,!AS80x80\28.08.2025\Th-232.xml,Th-232 с измеренным фоном
AS80_UGlass,AS80x80,8192,23960.4,8552474,U-238u;U-235,,встроен,self/p0.60,3,3.08,,как передний план,7.65,0,!AS80x80\28.08.2025\UGlass.xml,урановое стекло с измеренным фоном
AS80_Charoite,AS80x80,8192,1584.4,433236,Ra-226,40K,встроен,ref-cal,1,10.13,,как передний план,7.65,0,!AS80x80\Камни\Чароит.xml,единственный Ra-226 у AS80x80; статистически слаб
HPGE_Uranium,HPGE,16384,60260.0,5685529,U-238u;U-235,40K,нет,affine/robust/grp,15,0.35,0.207,-,0.2,0,HPGE\U_Пуговицы_tl60260_14.08.2020.xml,"полупроводник, 0.4 % на 662 кэВ. Единственный спектр, где линии ряда и дублет U-235 143.8/163.4/185.7/205.3 разрешены полностью: проверка, что критерий k*FWHM не разваливается, когда FWHM мал"
GS4000_Ra226,GS4000,4000,43562.3,1976663,Ra-226,,встроен,stored/grp,11,5.8,0.143,stored/grp,6.32,0,КИ от Жени\Ra-226 (Контрольный).xml,"ПОВЕРОЧНЫЙ источник Ra-226. В исходной девятке радий был только в природных образцах (чароит), где его количество неизвестно"
GS4000_Th232,GS4000,4000,6866.9,818473,Th-232,,встроен,affine/grp,8,5.08,0.132,stored/grp,6.32,0,КИ от Жени\Th-232 (Контрольный).xml,поверочный Th-232 на том же детекторе — привязка Ra к Th
GS4000_U,GS4000,4000,39417.7,989798,U-238u;U-235,,встроен,affine,7,4.13,0.132,как передний план/S45,6.32,0,КИ от Жени\U(233-238) (Контрольный).xml,поверочный уран: голова ряда и U-235 без радиевой части
GS4000_Lu176,GS4000,4000,57341.3,969379,,176LU,встроен,gain/grp,4,2.5,0.128,stored/grp,6.32,0,КИ от Жени\Lu-176 (Контрольный).xml,негатив на том же детекторе: три линии 88/202/307 и ничего больше
ASN3_Tile,ASN3,2500,179542.0,4882357,Th-232;Ra-226,40K,встроен,stored/grp,10,6.08,0.15,stored/grp,4.39,0,Разное\Упаковка плитки.xml,"строительная керамика: обе цепочки в естественной пропорции и на естественном уровне активности, не источник"
ASN8_Th232_1024,ASN8_1024,1024,55447.8,12107327,Th-232,,встроен,gain,11,4.02,0.085,stored,6.24,0,Th КИ\Th КИ - 1024.xml,лестница по числу каналов: 1024
ASN8_Th232_2048,ASN8_2048,2048,55470.7,12110720,Th-232,,встроен,stored/grp,10,6.02,0.115,stored/grp,7.04,0,Th КИ\Th КИ - 2048.xml,лестница по числу каналов: 2048
ASN8_Th232_3000,ASN8_3000,3000,130162.6,28557145,Th-232,,встроен,stored/grp,10,7.04,0.127,как передний план/S45,6.98,0,Th КИ\Th КИ - 3000.xml,лестница по числу каналов: 3000
ASN8_Th232_4096,ASN8_4096,4096,131721.9,28619731,Th-232,,встроен,stored/grp,10,6.61,0.121,stored/grp,6.89,0,Th КИ\Th КИ - 4096.xml,лестница по числу каналов: 4096
ASN8_Th232_8192,ASN8_8192,8192,131747.1,28634199,Th-232,,встроен,stored/grp,10,6.05,0.112,stored/grp,6.65,0,Th КИ\Th КИ - 8192.xml,лестница по числу каналов: 8192
ASN8_UGlass,ASN8_8192,8192,288017.9,24660708,U-238u;U-235,40K,встроен,affine/grp,5,9.61,0.163,как передний план,6.65,0,UGlass\UGlass+Al 8192.xml,"голова ряда U-238, 24.7 М отсчётов — вдвое сильнее обоих урановых стёкол исходной девятки"
ASN8_Am241,ASN8_8192,8192,62272.8,7802061,,241AM,встроен,affine/grp,3,5.67,0.109,как передний план,6.65,0,Am241\Am241-8192.xml,негатив: одна линия 59.5 кэВ на том же детекторе
OBS_UGlass,OBS,1024,65535.0,1151291,U-238u;U-235,,Фон дом.xml,affine/grp,3,3.83,0.217,gain/grp,4.91,0,Obsidian\UGlass.xml,урановое стекло на 1024 каналах: голова ряда в самой тесной сетке
RC101_I131,RC101,1024,690.0,2871658,,131I,Фон дом деревня.xml,gain/grp,2,2.71,0.04,stored/grp,12.2,0,КОТ\I 131.xml,I-131 даёт 364.5 кэВ — в полуширине от 351.9 кэВ Bi-214. Прямая ловушка на ложный радиевый якорь
AS1Pro_Ra226,AS1PRO,8192,3600.0,24541759,Ra-226,,встроен,poly2,12,3.26,0.074,как передний план,7.13,0,Калугин Алексей\Radium_226_Atom_Spectra _1_Pro_(3600s_6817CPS)_28-04-2021.xml,"радиевый источник, 24.5 М отсчётов — на два порядка сильнее чароита AS80x80 (0.43 М), на котором меряется Ra-226"
ASN16_Charoite_v2,ASN16,8192,172703.0,10615011,Th-232;Ra-226,40K,встроен,affine/grp,11,2.9,0.078,как передний план,5.78,0,!ASN16\Чароит без свинцовой защиты.xml,"тот же чароит, что ASN16_Charoite, но 10.6 М вместо 4.6 М и обе цепочки уверенно видны"
ASN16_Th232_Am241,ASN16,8192,66131.0,32230544,Th-232,241AM,Фон дом хрущёвка nos 12.xml,stored/grp,13,4.9,0.133,affine/grp,5.78,0,!ASN16\Th232 + Am241.xml,"два источника сразу: линия 59.5 кэВ садится в область, где у ториевого сета свои слабые линии"
ASN16_Am241,ASN16,8192,180269.2,41129508,,241AM,встроен,stored/grp,7,6.78,0.162,affine/grp,5.78,0,!ASN16\Am241.xml,"негатив ASN16, 41 М отсчётов"
ASN16_Cs137,ASN16,8192,356491.2,250626474,,137CS,встроен,affine,6,5.19,0.112,как передний план,5.78,0,!ASN16\Cs 137 в домике 24.11.2022.xml,"негатив ASN16, 251 М отсчётов — самый сильный односоставный спектр библиотеки; источник тот же чек-источник, что у ASN16_Cs137_10cm — паспорт там"
ASN16_Cs137_10cm,ASN16,8192,3421.0,117131,,137CS,встроен,ref-cal(ASN16_Charoite_v2),1,7.2,0.173,как передний план,5.78,0,!ASN16\Cs137 - 10cm.xml,"ОПОРНЫЙ ПАСПОРТНЫЙ (Amber, 14.08.2026): точечный Cs-137 на 10 см; якорь — паспорт: 9.25 кБк на 02.01.2002 (в паспорте 01/02/2002, американский календарь). На дату съёмки 03.12.2022 — 5712 Бк (T1/2 = 30.08 л). Решение Amber 14.08.2026: фиксируются паспортная активность и активность на даты ключевых спектров; новые спектры этого источника считать ОТ паспортной. Фон внутри файла, 35148 с"
ASN16_BrazilNuts,ASN16,8192,196931.0,1255521,Ra-226,40K,встроен,stored/grp,11,3.29,0.08,как передний план,5.78,0,!ASN16\Бразильские орехи из Боливии в домике.xml,"реальный слабоактивный образец: Ra-226 и K-40 в пище, 1.3 М отсчётов за 197 ks в свинцовом домике"
RC103_Th232WT20,RC103,1024,225338.9,11623023,Th-232,,Фон дома 103.xml,poly2/grp,6,4.58,0.089,stored/grp,7.97,0,!КОТ-103\Th-232 WT-20.xml,1024 канала — нижняя граница по числу каналов на FWHM; фон — комнатный того же прибора
